Scrap_time,Product_Name,Offered_Price,Price,Discount,Rating,Reviews,Delever_charge
2024-11-18 15:48:42.255013,+3 MoreModern Dream Catchers,397,397,0,4.2,0,0
2024-11-18 15:48:42.255013,+3 MoreClassic Dream Catchers,374,374,0,4.2,0,0
2024-11-18 15:48:42.255013,+3 MoreClassic Dream Catchers,329,329,0,4.0,7,0
2024-11-18 15:48:42.255013,+3 MoreDesigner Dream Catchers,364,364,0,3.6,5,0
2024-11-18 15:48:42.255013,+3 MoreClassic decor,433,433,0,0.0,0,0
2024-11-18 15:48:42.255013,+3 MoreLatest decor,460,460,0,0.0,0,0
2024-11-18 15:48:42.255013,home lights,371,371,0,3.9,0,0
2024-11-18 15:48:42.255013,Home Decor,395,395,0,3.8,0,0
2024-11-18 15:48:42.255013,Everyday decorative stone,391,391,0,3.8,0,0
2024-11-18 15:48:42.255013,+3 MoreFabulous Dream Catchers,329,329,0,4.0,5,0
2024-11-18 15:48:42.255013,+3 MoreLatest decor,913,913,0,0.0,0,0
2024-11-18 15:48:42.255013,Fancy Home Decor,611,611,0,3.8,0,0
2024-11-18 15:48:42.255013,home decor,445,445,0,3.8,0,0
2024-11-18 15:48:42.255013,Fancy home decor,387,387,0,3.8,0,0
2024-11-18 17:02:55.094914,+3 MoreModern Dream Catchers,397,397,0,4.2,0,0
2024-11-18 17:02:55.094914,+3 MoreClassic Dream Catchers,374,374,0,4.2,0,0
2024-11-18 17:02:55.094914,+3 MoreClassic Dream Catchers,329,329,0,4.0,7,0
2024-11-18 17:02:55.094914,+3 MoreDesigner Dream Catchers,364,364,0,3.6,5,0
2024-11-18 17:02:55.094914,+3 MoreClassic decor,433,433,0,0,0,0
2024-11-18 17:02:55.094914,+3 MoreLatest decor,460,460,0,0,0,0
2024-11-18 17:02:55.094914,home lights,371,371,0,3.9,0,0
2024-11-18 17:02:55.094914,Home Decor,395,395,0,3.8,0,0
2024-11-18 17:02:55.094914,Everyday decorative stone,391,391,0,3.8,0,0
2024-11-18 17:02:55.094914,+3 MoreFabulous Dream Catchers,329,329,0,4.0,5,0
2024-11-18 17:02:55.094914,+3 MoreLatest decor,913,913,0,0,0,0
2024-11-18 17:02:55.094914,Fancy Home Decor,611,611,0,3.8,0,0
2024-11-18 17:02:55.094914,home decor,445,445,0,3.8,0,0
2024-11-18 17:02:55.094914,Fancy home decor,387,387,0,3.8,0,0
