state,2019,2019→2020,2020,overall,males,females,F Δ M,overall,males,females,F Δ M
overall,males,females,F Δ M,overall,males,females,F Δ M,,,,
US on average,78.8,76.3,81.4,3.1,−1.8,77.0,76.2,79.9,3.7,,
California,80.9,78.4,83.3,4.9,−1.9,79.0,76.2,82.0,5.8,,
Hawaii,80.9,78.0,83.9,5.9,−0.2,80.7,77.6,83.8,6.2,,
New York,80.7,78.2,83.1,4.9,−3.0,77.7,74.8,80.7,5.9,,
Minnesota,80.4,78.3,82.6,4.3,−1.3,79.1,76.8,81.4,4.6,,
Massachusetts,80.4,77.9,82.8,4.9,−1.4,79.0,76.4,81.5,5.1,,
Connecticut,80.3,77.7,82.8,5.1,−1.9,78.4,75.6,81.3,5.7,,
New Jersey,80.1,77.6,82.5,4.9,−2.6,77.5,74.6,80.5,5.9,,
Washington (state),80.0,77.9,82.1,4.2,−0.8,79.2,76.9,81.6,4.7,,
Colorado,80.0,77.8,82.2,4.4,−1.7,78.3,75.8,80.9,5.1,,
Vermont,79.8,77.2,82.3,5.1,−1.0,78.8,76.1,81.4,5.3,,
Utah,79.7,78.0,81.5,3.5,−1.1,78.6,76.7,80.6,3.9,,
Oregon,79.6,77.3,81.9,4.6,−0.8,78.8,76.3,81.3,5.0,,
Idaho,79.5,77.5,81.5,4.0,−1.1,78.4,76.1,80.8,4.7,,
Rhode Island,79.5,77.0,81.8,4.8,−1.3,78.2,75.5,80.9,5.4,,
New Hampshire,79.4,77.1,81.6,4.5,−0.4,79.0,76.5,81.5,5.0,,
Wisconsin,79.3,77.0,81.5,4.5,−1.6,77.7,75.2,80.3,5.1,,
Nebraska,79.2,77.1,81.3,4.2,−1.5,77.7,75.2,80.3,5.1,,
Virginia,79.1,76.8,81.3,4.5,−1.5,77.6,75.1,80.1,5.0,,
Iowa,79.0,76.5,81.6,5.1,−1.5,77.5,74.9,80.1,5.2,,
Illinois,79.0,76.4,81.5,5.1,−2.2,76.8,73.8,79.8,6.0,,
Florida,79.0,76.3,81.8,5.5,−1.5,77.5,74.6,80.5,5.9,,
North Dakota,78.8,76.3,81.5,5.2,−1.9,76.9,74.2,80.0,5.8,,
Arizona,78.8,76.1,81.6,5.5,−2.5,76.3,73.4,79.5,6.1,,
Texas,78.6,76.1,81.0,4.9,−2.1,76.5,73.7,79.3,5.6,,
Maryland,78.5,75.8,81.2,5.4,−1.7,76.8,73.8,79.7,5.9,,
Montana,78.4,76.2,80.8,4.6,−1.6,76.8,74.2,79.6,5.4,,
South Dakota,78.4,76.1,80.8,4.7,−1.7,76.7,74.2,79.4,5.2,,
Maine,78.3,75.8,80.9,5.1,−0.5,77.8,74.9,80.7,5.8,,
Pennsylvania,78.3,75.7,80.9,5.2,−1.5,76.8,74.0,79.6,5.6,,
Kansas,78.2,75.9,80.4,4.5,−1.8,76.4,73.8,79.2,5.4,,
Delaware,78.1,75.1,81.0,5.9,−1.4,76.7,73.9,79.5,5.6,,
Nevada,78.0,75.6,80.6,5.0,−1.7,76.3,73.5,79.2,5.7,,
Michigan,78.0,75.6,80.3,4.7,−2.0,76.0,73.4,78.8,5.4,,
"Washington, D.C.",78.0,74.9,80.8,5.9,−2.7,75.3,71.7,78.7,7.0,,
Alaska,77.7,75.8,79.9,4.1,−1.1,76.6,74.3,79.2,4.9,,
Wyoming,77.7,75.4,80.5,5.1,−1.4,76.3,74.0,78.9,4.9,,
North Carolina,77.6,75.0,80.1,5.1,−1.5,76.1,73.3,79.0,5.7,,
Georgia,77.4,74.9,79.9,5.0,−1.8,75.6,72.8,78.3,5.5,,
Indiana,77.0,74.5,79.5,5.0,−2.0,75.0,72.3,77.9,5.6,,
Ohio,76.9,74.3,79.5,5.2,−1.6,75.3,72.5,78.1,5.6,,
Missouri,76.9,74.1,79.8,5.7,−1.8,75.1,72.1,78.1,6.0,,
New Mexico,76.9,73.9,80.1,6.2,−2.4,74.5,71.3,77.8,6.5,,
South Carolina,76.8,73.9,79.7,5.8,−2.0,74.8,71.7,78.0,6.3,,
Oklahoma,75.7,73.2,78.3,5.1,−1.6,74.1,71.5,76.9,5.4,,
Arkansas,75.7,73.0,78.4,5.4,−1.9,73.8,71.1,76.6,5.5,,
Louisiana,75.7,72.8,78.6,5.8,−2.6,73.1,69.9,76.4,6.5,,
Tennessee,75.6,72.8,78.5,5.7,−1.8,73.8,70.7,77.0,6.3,,
Kentucky,75.5,72.9,78.0,5.1,−2.0,73.5,70.6,76.5,5.9,,
Alabama,75.2,72.2,78.2,6.0,−2.0,73.2,70.1,76.4,6.3,,
West Virginia,74.5,71.9,77.3,5.4,−1.7,72.8,69.8,76.1,6.3,,
Mississippi,74.4,71.2,77.6,6.4,−2.5,71.9,68.6,75.2,6.6,,
